Datetime,Title,Description,Content,Change
2019-01-01 20:56:00+00:00,Car sales languish as record discounts fail to charm buyers in December,"Tight liquidity, increased lending rates, poor buyer sentiments and lack of new model launches impacted sales during December","nonetight,liquidity,increased,lending,rate,poor,buyer,sentiment,lack,new,model,launch,impacted,sale,december,despite,steady,decline,fuel,rate,unusually,high,discount,offered,automaker,dealer,get,rid,inventory,entering,maruti,suzuki,country,largest,carmaker,reported,one,percent,rise,domestic,sale,month,unit,compared,unit,clocked,month,last,yearmarutis,growth,due,continued,demand,utility,vehicle,brezza,ertiga,omni,eeco,van,without,delhibased,company,reported,fall,percent,salesthe,effect,withdrawal,wagon,r,make,room,new,model,due,january,along,softness,demand,segment,comprising,swift,baleno,ignis,dzire,hit,overall,passenger,car,salesduring,last,week,december,maruti,suzuki,undertaken,usual,maintenance,shutdown,factory,also,resulted,reduced,supply,dealer,sale,december,lower,side,lower,inventory,dealer,start,accepting,fresh,stock,january,rc,bhargava,chairman,maruti,suzuki,said,moneycontrol,decemberindias,second,largest,car,maker,hyundai,reported,percent,growth,volume,december,unit,korean,brand,sale,growth,largely,aided,added,volume,santro,launched,octoberthe,sunshine,car,broke,india,top,ten,bestselling,car,list,november,hatchback,believed,garnered,booking,unit,giving,hyundai,stockout,monthsbut,utility,vehicle,specialist,mahindra,mahindra,mm,felt,heat,december,sale,declining,percent,mumbaibased,maker,scorpio,bolero,sold,unit,passenger,vehicle,december,unit,sold,month,last,yearrajan,wadhera,president,automotive,sector,mm,said,domestic,market,challenge,relating,tight,liquidity,low,buying,sentiment,continue,degrowth,december,hope,see,good,performance,q,owing,anticipated,rural,demand,harvesting,season,launch,new,xuv,february,consistently,beating,growth,every,large,volume,player,previous,month,tata,motor,said,sale,growth,domestic,market,stood,one,percent,december,company,sold,unit,unit,sold,month,last,yearjapanese,auto,giant,toyota,monday,said,clocked,percent,growth,december,unit,unit,sold,month,last,year",-1.2
2019-01-01 18:07:00+00:00,"Tata Motors domestic sales fall 8% to 50,440 units in December","The company said its commercial vehicle sales in the domestic market stood at 36,180 units in December, down 11 percent from 40,447 units in the same month last year.","nonethe,company,passenger,vehicle,sale,domestic,market,rose,percent,unit,last,month,compared,unit,december,company,said,statementin,december,strived,maintain,growth,trajectory,rather,sluggish,period,entire,auto,industry,tata,motor,president,passenger,vehicle,business,unit,mayank,pareek,said",-1.2
2019-01-02 20:30:00+00:00,"An evening walk down Dalal Street | Sensex cracks over 360 points, Nifty just below 10,800; midcaps decline","At the close of market hours, the Sensex was down 363.05 points or 1.00% at 35891.52, while the Nifty down 117.60 points or 1.08% at 10792.50.","weak,global,cue,dip,gst,collection,fall,auto,stock,weighed,equity,wednesday,though,index,ended,low,point,closing,level,reflected,day,negative,tradea,depreciating,rupee,also,added,woe,investor,currency,breached,per,u,dollar,fell,around,percentthe,day,began,lower,note,weak,handover,asian,market,dragged,index,lower,apart,tumble,auto,stock,added,selling,pressurenoneweakness,visible,among,automobile,bank,energy,metal,pharmaceutical,nifty,midcap,index,fell,percent,tradeat,close,market,hour,sensex,point,nifty,point,market,breadth,negative,share,advanced,decline,share,declined,share,unchangedsun,pharma,tc,top,gainer,vedanta,mm,eicher,motor,jsw,steel,lost,moststocks,newsshares,nmdc,gained,nearly,percent,board,consider,buyback,sharesshares,jsw,steel,tata,steel,slipped,percent,brokerage,house,clsa,downgraded,stock,sellshares,eicher,motor,slipped,percent,company,reported,weak,motor,cycle,number,month,december,commercial,vehicle,maker,tata,motor,ashok,leyland,share,dropped,around,percent,reporting,dismal,performance,december,salesvedanta,share,slipped,percent,tamil,nadu,government,moved,supreme,court,order,national,green,tribunal,allowing,reopening,sterlites,tuticorin,unitncc,share,rallied,percent,company,received,four,new,order,totalling,r,crore,december,global,marketsshares,asia,mostly,lower,south,korea,kospi,slipped,percent,close",-1.75
2019-01-02 14:12:00+00:00,Top auto trends of 2018; what to expect in 2019,"The biggest news of 2018 in the auto industry was the arrest of Carlos Ghosn, CEO of Renault and Nissan, who has been charged for underreporting his income by $44 million.","automotive,industry,one,biggest,employer,country,indian,multinational,company,straddling,across,platform,list,important,development,expected,happened,arrest,carlos,ghosnperhaps,biggest,news,year,auto,industry,arrest,carlos,ghosn,ceo,renault,nissan,ghosn,charged,underreporting,income,approximately,million,nissan,several,year,found,guilty,ghosn,credited,nissan,turnaround,could,face,year,prison,sentencemm,ford,sign,moumahindra,mahindra,ford,motor,company,signed,agreement,jointly,develop,two,suv,share,engine,develop,small,electric,vehicle,share,retail,footprint,boost,market,reach,india,mm,pressure,competition,lost,market,share,ford,fringe,player,despite,two,decade,operation,indiacompanies,give,auto,expo,missat,least,automotive,brand,gave,biennial,india,auto,expo,held,february,miss,bajaj,auto,harleydavidson,royal,enfield,jaguar,land,rover,eicher,motor,ford,entire,volkswagen,group,decided,stay,clear,event,citing,high,cost,negligible,returnscustoms,duty,hike,luxury,carsthe,budget,brought,percentage,point,hike,custom,duty,knocked,kit,imported,india,raising,percent,percent,earlier,company,like,mercedesbenz,bmw,audi,volvo,jaguar,land,rover,harleydavidson,triumph,assembly,plant,india,impacted,thisindia,overtakes,uk,marketautomotive,sale,india,surged,second,fastest,world,total,number,trumping,developed,market,like,uk,france,coming,within,striking,distance,germany,closing,last,calendar,year,million,unit,growth,percent,india,domestic,automobile,sale,fifth,highest,world,behind,china,million,u,million,japan,million,germany,million,auto,sale,uk,million,unit,france,million,unitsnonenoneprices,class,vehicle,upgraded,bharat,stage,vi,emission,standard,witness,significant,increase,switchover,consumer,thus,expected,buy,existing,bsiv,grade,vehicle,beat,hike,steepest,increase,commercial,vehicle,truck,bus,followed,diesel,car,suv,company,expected,ramp,output,meet,added,demandall,car,airbags,reverse,parking,sensor,india,highest,road,mortality,rate,world,also,biggest,market,least,number,vehicle,equipped,safety,feature,like,airbags,ab,reverse,parking,sensor,set,change,lifesaving,feature,made,mandatory,modelstata,motor,shift,new,gen,vehicle,architecturehaving,completely,overhauled,product,lineup,tata,motor,shift,towards,entirely,new,vehicle,architecture,launch,harrier,suv,january,followed,premium,hatchback,company,phasing,model,make,way,new,range,play,purely,premium,segmentkia,mg,motor,debut,india,gm,departsindia,get,two,new,automotive,brand,kia,motor,mg,motor,come,unceremonious,exit,one,general,motor,india,market,company,highlight,significance,indian,market,world,map,back,sustained,challenge,traditional,large,market,world,china,europeuniform,driving,license",-1.2
2019-01-04 16:18:00+00:00,"No decision regarding Rs 2,000 note production recently: Subhash Garg","Economic Affairs Secretary says the printing of Rs 2,000 notes is going on as per projected requirement ","decision,recently,regarding,production,r,note,printing,planned,per,projected,requirement,economic,affair,secretary,subhash,chandra,garg,saidprinting,note,planned,per,projected,requirement,adequate,note,r,system,note,value,circulation,r,decision,regarding,rupee,note,production,recentlynonenonethe,r,note,along,new,r,note,introduced,november,replace,demonetised,r,r,note,deal,acute,currency,shortagethe,report,also,said,decision,also,come,amid,suspicion,r,note,used,money,laundering,hoarding,tax,evasion,however,cut,circulation,doesnt,translate,note,deemed,invalidopposition,party,criticised,introduction,note,higher,denomination,note,would,make,easier,people,hoard,moneythe,critic,also,included,banker,like,uday,kotak,md,kotak,mahindra,bank,questioned,government,move,bring,r,note,replace,r,notesin,april,acute,shortage,cash,government,suspected,cash,may,hoarded,ahead,state,election,aftermath,nirav,modi,scamduring,period,income,tax,department,seized,massive,amount,r,notesthere,indication,phasing,r,note,rbi,annual,report,august,stated,crore,note,r,denomination,added,bringing,total,crore,r,note,circulation,march,source,network,creativethe,share,r,note,total,currency,circulation,experienced,steep,decline,percent,march,percent,march,march,total,currency,circulation,r,lakh,crore,around,r,lakh,crore,percent,currency,r,note,r,lakh,crore,percent,r,note,remaining,lower,denomination",-0.51
2019-01-03 14:37:00+00:00,HDFC MF surpasses ICICI Prudential MF to become largest AMC in India,"As of December-end, HDFC MF manages assets to the tune of Rs 3.35 lakh crore, while those of ICICI Prudential MF stood at Rs 3.08 lakh crore, as per the latest data available with Association of Mutual funds in India (Amfi).","hdfc,mutual,fund,pipped,rpt,pipped,icici,prudential,mf,become,country,largest,asset,management,company,gap,two,yearsas,decemberend,hdfc,mf,manages,asset,tune,r,lakh,crore,icici,prudential,mf,stood,r,lakh,crore,per,latest,data,available,association,mutual,fund,india,amfithe,asset,management,aum,hdfc,mf,grown,per,cent,octoberdecember,quarter,previous,threemonth,period,however,icici,prudential,mf,aum,slipped,per,cent,period,reviewhdfc,mf,largest,asset,manager,since,october,held,numero,uno,position,till,march,icici,prudential,mf,overtaken,top,spotsbi,mf,third,slot,aum,r,lakh,crore,followed,aditya,birla,sun,life,mf,r,lakh,crore,reliance,mf,r,lakh,croreoverall,asset,base,country,mutual,fund,industry,r,lakh,crore,end,december,quarterin,fund,house,expect,industry,witness,robust,growth,sector,yet,tap,full,potential,besides,several,measure,taken,regulator,sebi,help,increasing,penetration,mutual,fund",-2.85
2019-01-03 15:14:00+00:00,Axle load norms behind dip in demand for new heavy trucks,"Sales of medium and heavy commercial vehicles, especially in the cargo segment, saw a 22 percent fall for India’s top four truck and bus manufacturers in November-December","new,axle,load,norm,approved,government,middle,last,year,proved,one,main,reason,behind,poor,performance,commercial,vehicle,past,monthsnonesales,mhcv,november,december,slumped,unit,unit,posted,period,last,year,per,data,supplied,society,indian,automobile,manufacturer,siamin,july,last,year,government,increased,permissible,gross,vehicle,weight,gvw,tonne,heavy,truck,percentthe,norm,allows,truck,owner,increase,load,vehicle,new,limit,prescribed,government,higher,limit,way,legalised,overloading,given,fleet,owner,opportunity,sweat,existing,asset,instead,purchasing,new,trucksthis,one,major,reason,sluggishness,demand,new,truck,besides,issue,tightened,credit,lending,norm,increased,interest,rate,liquidity,issue,nonbanking,finance,company,nbfcs,higher,diesel,pricesgirish,wagh,president,cvbu,tata,motor,said,axle,load,increase,lead,demand,uncertainty,existing,vehicle,allowed,register,higher,load,created,doubt,mind,fleet,owner,whether,need,add,fresh,vehicle,sweat,existing,lot,end,consumer,higher,bargaining,power,began,demand,benefit,increased,axle,load,result,sentiment,started,dipmhcv,sale,tata,motor,fell,percent,last,two,month,unitson,hand,sale,truck,sub,tonne,segment,comprises,intermediate,light,commercial,vehicle,didnt,suffer,similar,fall,numberstippers,overloading,possible,continued,post,doubledigit,growth,periodevery,segment,way,responding,situation,directive,given,rto,regional,transport,office,older,vehicle,also,certified,new,load,tonne,vehicle,certified,carry,tonne,need,truck,owner,invest,new,truck,existing,truck,carry,extra,load,said,senior,executive,ashok,leylandthe,chennaibased,company,reported,percent,fall,mhcv,sale,unit,november,december,ashok,leyland,second,biggest,manufacturer,mhcvs,indianonenone",1.15
2019-01-04 09:46:00+00:00,Allocate 30-40% of portfolio to small & midcaps for wealth generation; Here's how,"For aggressive investors, ideal equity portfolio allocation should be somewhere in the range of 30-40 percent with respect to small & midcaps, suggest experts","tell,select,midcaps,still,offer,good,value,current,level,would,believe,well,way,mid,smallcaps,collapsed,chance,bleak,anyone,would,want,invest,broader,marketyes,true,retail,investor,portfolio,bleeding,went,overweight,small,midcaps,last,year,witnessing,strong,rally,smallcap,index,rose,percent,saw,stock,doubled,investor,wealthbut,steep,correction,sp,bse,midcap,index,fell,percent,sp,bse,smallcap,index,dropped,percent,valuation,become,slightly,attractive,compared,beginning,even,thematic,mutual,fund,fell,sharply,quoting,beginning,aggressive,investor,ideal,equity,portfolio,allocation,somewhere,range,percent,respect,small,midcaps,suggest,expertsamit,sood,market,research,head,turned,trader,told,moneycontrol,portfolio,took,hit,broader,market,nosedived,said,long,haul,time,horizon,yearswith,longer,time,horizon,temporary,tsunamislike,gyration,appear,small,ripple,dont,feel,perturbed,volatility,firm,conviction,give,good,return,long,run,addsbriefly,carnage,mid,smallcap,stock,caused,mutual,fund,selling,owing,new,categorization,mf,scheme,gsmasm,circular,sebi,change,equity,taxation,governance,issue,recent,ilfs,crisis,etc,ltcg,tax,also,impacted,investor,sentimentso,one,invest,mid,smallcaps,well,answer,lie,one,risktaking,ability,stock,selection,remain,keyiifl,note,said,investor,focus,sustainability,earnings,growth,percentage,growth,investing,current,round,market,uncertaintyas,small,midcaps,one,start,bottom,fish,good,quality,company,avoid,averaging,stock,whose,fundamental,deteriorated,significantly,saidso,right,portfolio,composition,year,investor,overweight,well,already,reduced,exposurebut,aggressive,investor,iifl,said,could,allocate,percent,towards,smallcaps,percent,midcaps,percent,towards,largecaps,accordance,model,portfolio,decembernonenonesince,small,midcaps,doubledigit,loss,opportunity,find,good,quality,stock,attractive,valuation,segment,avoid,averaging,stock,whose,fundamental,deteriorated,significantly,suggest,expertswe,focused,story,benefiting,crude,price,fall,also,seeing,improvement,liquidity,side,nbfcs,help,rebound,credit,growth,aid,growth,company,abhimanyu,sofat,head,research,iifl,security,ltd,told,moneycontrolat,given,time,one,invest,based,risk,profile,hard,fast,rule,aggressive,person,invest,percent,equity,percent,debt,percent,gold,whereas,person,moderate,risk,appetite,invest,percent,equity,percent,debt,percent,gold,saidhe,added,tactical,allocation,perspective,one,increase,weight,equity,bias,towards,smaller,midcap,companiesb,gopkumar,ed,ceo,reliance,security,told,moneycontrol,investor,allocate,percent,towards,largecaps,percent,midcap,smallcap,riskneutral,investor,immediate,cash,requirement,advisablenone",-1.42
2019-01-07 10:28:00+00:00,ONGC first gets forced to buy HPCL and now buy its own shares back,"This situation has arisen because the government needs to meet its divestment target of Rs 80,000 crore by the end of this fiscal","capitalmindwe,big,number,herenonebut,slimmed,coffer,also,picked,loan,like,people,pickup,vegetable,discount,rush,illconsidered,decision,taken,present,central,government,regarding,psu,companynonebut,ongc,hugely,cashflow,positive,first,six,month,report,reduced,debt,r,crorethe,reason,pointing,sticky,situation,central,government,recently,directed,cashrich,staterun,company,lot,idle,capital,utilise,handing,dividend,carrying,buyback,need,meet,r,crore,divestment,targetthat,mean,even,ongc,even,buying,hpcl,roll,dividend,buyback,however,considering,current,position,ongc,say,either,buyback,pay,dividend,better,neither,next,financial,yearwhile,still,pleading,ministry,finance,exempt,dividend,unfortunately,due,pressure,government,agreed,carry,buyback,buyback,percent,shareholder,capital,come,r,crore,record,date,set,january,question,ongc,going,pull,answer,cant,doesnt,cash,anymore,unless,ongc,pick,loan,reduces,effort,pay,back,loan,currently,hasnonesecondly,ongc,hold,around,crore,share,ioc,ioc,recently,declared,dividend,buyback,look,dividend,aspect,ioc,pay,r,per,share,ongc,mean,around,r,crore,there,buyback,wellthe,ioc,buyback,percent,share,r,assuming,ongc,sell,back,percent,holding,ioc,thats,percent,crore,share,crore,share,r,r,crorefinally,ongc,received,million,pdvsa,part,settlement,outstanding,dividend,payment,ongc,owns,percent,stake,venezuela,san,cristobal,project,assuming,r,come,r,croreso,get,r,crore,dividendsbuybacks,holding,provides,percent,need,buyback,rest,r,crore,sequestered,profit,two,quarterstheir,goal,debt,free,may,wait,supposed,pay,back,entire,loan,took,buy,hpcl,within,year,may,extend,another,six,month,buyback,pay,dividendall,ongc,seems,tough,impossible,situation,generate,enough,cash,able,pull,offthe,problem,however,government,primary,shareholder,get,way,efficient,functioning,could,analyse,say,ongc,money,greedy,government,keep,wanting,shareholder,might,excitingit,also,tell,peril,investing,governmentowned,company,least,siphon,money,telling,company,dont,even,get,know,much,money,lootedthe,author,ceo,founder,capitalmindin",-19.84
2019-01-07 14:55:00+00:00,Maggi fights to retain market share after SC reopens food contamination case,"In the latest twist, Nestle admitted to the presence of lead in the product - though 'within permissible limits' - before the Supreme Court.","nonemaggi,recouped,share,nearly,percent,r,crore,instant,noodle,market,india,still,far,percent,share,enjoyed,controversy,broke,june,leading,ban,food,safety,standard,authority,india,fssaithe,ban,resulted,hit,r,crore,company,forcing,destroy,tonne,maggi,noodlesin,latest,twist,nestle,admitted,presence,lead,product,though,within,permissible,limit,supreme,courtthe,court,hearing,made,clear,safety,noodle,questioned,class,action,suit,initiated,ncdrc,national,consumer,dispute,redressal,commission,lead,content,reopenedthe,impactmaggi,banned,five,month,allegedly,containing,lead,beyond,permissible,limit,forcing,nestle,india,withdraw,product,marketthis,ban,brought,share,also,hit,brand,big,wayaccording,nielsen,share,maggi,dropped,low,percent,january,period,itc,food,sunfeast,yippee,brand,instant,noodle,close,second,nissan,top,ramen,cup,noodle,chings,secret,wai,wai,huls,knorr,saw,improvement,market,share,cost,maggiin,march,market,share,sunfeast,yippee,noodle,shot,percent,however,currently,stand,percent,maggi,hit,stand,againsimilarly,wai,wais,market,share,merely,percent,risen,percent,currently,stand,percentback,market,november,maggi,since,gained,sustainable,share,helped,introduction,new,variant,deepening,reachads,blitzimmediately,controversy,resurfaced,nestle,released,newspaper,ad,calm,nerve,customer",-7.05
